servico,subgrupo,grupo,fonte,confianca
BOLOS E DOCES,DESPESAS COM EVENTOS,DESPESAS OPERACIONAIS E OUTRAS RECEITAS,heuristica,0.90
AJUDA DE CUSTO,PESSOAL,CUSTOS OPERACIONAIS,heuristica,0.90
APARELHO/CELULAR,DESPESAS FIXAS,CUSTOS OPERACIONAIS,heuristica,0.85
LINK DE FOTOS TRATADO,DESPESAS COM EVENTOS,DESPESAS OPERACIONAIS E OUTRAS RECEITAS,heuristica,0.88
EXTORNO DE SINAL,OUTROS,DESPESAS OPERACIONAIS E OUTRAS RECEITAS,heuristica,0.70
ASSINATURA ANUAL,DESPESAS FIXAS,CUSTOS OPERACIONAIS,heuristica,0.85
ESCALA,PESSOAL,CUSTOS OPERACIONAIS,heuristica,0.90
DAEM,OBRIGAÇÕES / IMPOSTOS,CUSTOS OPERACIONAIS,heuristica,0.95
IMPOSTO DE RENDA,OBRIGAÇÕES / IMPOSTOS,CUSTOS OPERACIONAIS,heuristica,0.95
MANUTENÇÃO ELEVADOR,MANUTENÇÃO CONSERVAÇÃO,DESPESAS OPERACIONAIS E OUTRAS RECEITAS,heuristica,0.88
GRÁFICA E PAPELARIA,DESPESAS GERAIS,DESPESAS OPERACIONAIS E OUTRAS RECEITAS,heuristica,0.82
CHIP/INTERNET,DESPESAS FIXAS,CUSTOS OPERACIONAIS,heuristica,0.85
FILMAKER,DESPESAS COM EVENTOS,DESPESAS OPERACIONAIS E OUTRAS RECEITAS,heuristica,0.88
CONVITES PARA EVENTOS,DESPESAS COM EVENTOS,DESPESAS OPERACIONAIS E OUTRAS RECEITAS,heuristica,0.88
COMBUSTÍVEL,DESPESAS GERAIS,DESPESAS OPERACIONAIS E OUTRAS RECEITAS,heuristica,0.80
PAPEL CHAMEX,DESPESAS GERAIS,DESPESAS OPERACIONAIS E OUTRAS RECEITAS,heuristica,0.82
EXAME DEMISSIONAL,PESSOAL,CUSTOS OPERACIONAIS,heuristica,0.90
TELA PROTETORA,DESPESAS VARIÁVEIS,DESPESAS OPERACIONAIS,heuristica,0.85
PALCO,DESPESAS COM EVENTOS,DESPESAS COM EVENTOS,heuristica,0.90
